input_data,num_vertices,avg_cycle_weight,min_cycle_weight,init_temperature,alpha,min_temperature,max_iter
data\pbk411.tsp,411,1491,1470,100,0.99,1,0.2
data\pbn423.tsp,423,1516,1478,100,0.99,1,0.2
data\pbm436.tsp,436,1605,1590,100,0.99,1,0.2
data\xql662.tsp,662,2728,2699,100,0.99,1,0.2
data\xqf131.tsp,131,577,572,50,0.99,0.1,0.3
data\xqg237.tsp,237,1039,1029,50,0.99,0.1,0.3
data\pma343.tsp,343,1378,1371,50,0.99,0.1,0.3
data\pka379.tsp,379,1343,1337,50,0.99,0.1,0.3
data\bcl380.tsp,380,1656,1644,50,0.99,0.1,0.3
data\pbl395.tsp,395,1306,1291,50,0.99,0.1,0.3
data\pbk411.tsp,411,1376,1360,50,0.99,0.1,0.3
data\pbn423.tsp,423,1402,1384,50,0.99,0.1,0.3
data\pbm436.tsp,436,1485,1461,50,0.99,0.1,0.3
data\xql662.tsp,662,2589,2572,50,0.99,0.1,0.3
data\xqf131.tsp,131,588,581,50,0.95,0.01,0.3
data\xqg237.tsp,237,1061,1047,50,0.95,0.01,0.3
data\pma343.tsp,343,1404,1390,50,0.95,0.01,0.3
data\pka379.tsp,379,1368,1352,50,0.95,0.01,0.3
data\bcl380.tsp,380,1716,1666,50,0.95,0.01,0.3
data\pbl395.tsp,395,1350,1331,50,0.95,0.01,0.3
data\pbk411.tsp,411,1416,1392,50,0.95,0.01,0.3
data\pbn423.tsp,423,1441,1418,50,0.95,0.01,0.3
data\pbm436.tsp,436,1536,1508,50,0.95,0.01,0.3
data\xql662.tsp,662,2664,2607,50,0.95,0.01,0.3
data\xqf131.tsp,131,599,588,10,0.99,1,0.3
data\xqg237.tsp,237,1075,1053,10,0.99,1,0.3
data\pma343.tsp,343,1448,1438,10,0.99,1,0.3
data\pka379.tsp,379,1445,1412,10,0.99,1,0.3
data\bcl380.tsp,380,1699,1678,10,0.99,1,0.3
data\pbl395.tsp,395,1415,1402,10,0.99,1,0.3
data\pbk411.tsp,411,1472,1453,10,0.99,1,0.3
data\pbn423.tsp,423,1513,1488,10,0.99,1,0.3
data\pbm436.tsp,436,1574,1548,10,0.99,1,0.3
data\xql662.tsp,662,2709,2637,10,0.99,1,0.3
data\xqf131.tsp,131,589,581,10,0.95,0.1,0.3
data\xqg237.tsp,237,1057,1044,10,0.95,0.1,0.3
data\pma343.tsp,343,1406,1390,10,0.95,0.1,0.3
data\pka379.tsp,379,1365,1357,10,0.95,0.1,0.3
data\bcl380.tsp,380,1712,1686,10,0.95,0.1,0.3
data\pbl395.tsp,395,1342,1327,10,0.95,0.1,0.3
data\pbk411.tsp,411,1418,1401,10,0.95,0.1,0.3
data\pbn423.tsp,423,1445,1416,10,0.95,0.1,0.3
