input_data,num_vertices,avg_cycle_weight,min_cycle_weight,max_taboo_list_size,max_iterations
data\pma343.tsp,343,1483,1441,20,10
data\pka379.tsp,379,1447,1411,20,10
data\bcl380.tsp,380,1815,1742,20,10
data\pbl395.tsp,395,1425,1379,20,10
data\pbk411.tsp,411,1505,1477,20,10
data\pbn423.tsp,423,1518,1464,20,10
data\pbm436.tsp,436,1595,1558,20,10
data\xql662.tsp,662,2812,2751,20,10
data\xqf131.tsp,131,611,592,20,5
data\xqg237.tsp,237,1112,1087,20,5
data\pma343.tsp,343,1488,1456,20,5
data\pka379.tsp,379,1441,1424,20,5
data\bcl380.tsp,380,1824,1796,20,5
data\pbl395.tsp,395,1428,1394,20,5
data\pbk411.tsp,411,1489,1446,20,5
data\pbn423.tsp,423,1527,1492,20,5
data\pbm436.tsp,436,1602,1565,20,5
data\xql662.tsp,662,2828,2782,20,5
data\xqf131.tsp,131,618,600,20,50
data\xqg237.tsp,237,1113,1087,20,50
data\pma343.tsp,343,1484,1434,20,50
data\pka379.tsp,379,1440,1416,20,50
data\bcl380.tsp,380,1800,1732,20,50
data\pbl395.tsp,395,1426,1374,20,50
data\pbk411.tsp,411,1478,1431,20,50
data\pbn423.tsp,423,1529,1498,20,50
data\pbm436.tsp,436,1610,1575,20,50
data\xql662.tsp,662,2800,2737,20,50
data\xqf131.tsp,131,619,594,20,20
data\xqg237.tsp,237,1126,1101,20,20
data\pma343.tsp,343,1499,1465,20,20
data\pka379.tsp,379,1442,1417,20,20
data\bcl380.tsp,380,1826,1782,20,20
data\pbl395.tsp,395,1430,1405,20,20
data\pbk411.tsp,411,1482,1442,20,20
data\pbn423.tsp,423,1517,1472,20,20
data\pbm436.tsp,436,1602,1571,20,20
data\xql662.tsp,662,2838,2787,20,20
